站點A,站點B,總人次
中山,雙連,24945
民權西路,雙連,24366
忠孝復興,忠孝新生,21992
中山,台北車站,20242
西門,龍山寺,19807
中山,松江南京,19257
台北車站,西門,18429
圓山,民權西路,18328
江子翠,龍山寺,18234
劍潭,圓山,17624
劍潭,士林,16394
新埔,江子翠,16332
士林,芝山,15350
忠孝復興,忠孝敦化,14536
新埔,板橋,13938
明德,芝山,13512
國父紀念館,忠孝敦化,13368
明德,石牌,12684
國父紀念館,市政府,12480
府中,板橋,12051
台北車站,善導寺,11997
大橋頭,民權西路,11886
中正紀念堂,古亭,11875
善導寺,忠孝新生,11840
南京復興,松江南京,11721
古亭,台電大樓,11301
唭哩岸,石牌,10718
古亭,頂溪,10445
台北車站,台大醫院,10258
唭哩岸,奇岩,10167
亞東醫院,府中,10050
公館,台電大樓,10027
古亭,東門,9938
中正紀念堂,台大醫院,9828
市政府,永春,9737
忠孝新生,東門,9546
北投,奇岩,9458
大安,忠孝復興,9108
南京復興,忠孝復興,9000
後山埤,永春,8833
忠孝新生,松江南京,8060
後山埤,昆陽,7872
三重國小,大橋頭,7825
北投,復興崗,7709
南京復興,台北小巨蛋,7699
公館,萬隆,7637
永安市場,頂溪,7463
亞東醫院,海山,7430
復興崗,忠義,7321
忠義,關渡,6993
景美,萬隆,6701
三和國中,三重國小,6422
中山國中,南京復興,6212
竹圍,關渡,6168
南港,昆陽,6128
信義安和,大安,5911
大坪林,景美,5783
南京三民,台北小巨蛋,5772
景安,永安市場,5431
台北橋,大橋頭,5413
中山國中,松山機場,5412
竹圍,紅樹林,5363
中正紀念堂,小南門,5328
大直,松山機場,5281
小南門,西門,5188
土城,海山,5135
新莊,頭前庄,5004
三和國中,徐匯中學,4945
七張,大坪林,4862
大安,科技大樓,4818
劍南路,大直,4783
台北橋,菜寮,4778
南港,南港展覽館,4649
劍南路,西湖,4288
土城,永寧,4196
三重,菜寮,4015
新莊,輔大,3939
信義安和,台北101/世貿,3830
新埔民生,頭前庄,3701
新埔民生,板橋,3655
六張犁,科技大樓,3603
港墘,西湖,3562
大安森林公園,東門,3553
淡水,紅樹林,3550
三民高中,徐匯中學,3534
南京三民,松山,3321
三重,先嗇宮,3296
大安,大安森林公園,3131
丹鳳,輔大,3068
先嗇宮,頭前庄,2964
七張,新店區公所,2951
文德,港墘,2913
松江南京,行天宮,2843
內湖,文德,2734
中正紀念堂,東門,2733
六張犁,麟光,2655
南勢角,景安,2542
辛亥,麟光,2334
內湖,大湖公園,2309
南港展覽館,南港軟體園區,2240
三民高中,蘆洲,2184
永寧,頂埔,2173
大湖公園,葫洲,2148
中山國小,行天宮,2145
南港軟體園區,東湖,2036
萬芳醫院,辛亥,2001
中山國小,民權西路,1882
東湖,葫洲,1806
丹鳳,迴龍,1724
新店,新店區公所,1533
台北101/世貿,象山,1484
中和,景安,1392
中和,橋和,1319
中原,橋和,1314
中原,板新,1296
板新,板橋,1290
北門,西門,1073
景安,景平,970
中山,北門,967
十四張,大坪林,905
景平,秀朗橋,872
十四張,秀朗橋,749
萬芳社區,萬芳醫院,675
北投,新北投,615
動物園,萬芳社區,373
七張,小碧潭,282
幸福,頭前庄,264
幸福,新北產業園區,60
